id,user_id,store_id,external_store_id,store_name,duty_status,duty_process_status,store_qr_code_id,store_sp_no,store_mch_id,divide_up_limit,store_remark,create_time,update_time,divide_settle_type,store_et_qr_code_id,store_out_qr_code_id,vip_pay_falg,store_type,dt
38,d852e782a2f045d8906aacb78c8c0a04,18bab559355f4915874aa808425af51c,,老吕测试店铺,1,100,1,X,,12.34,,13:06.0,09:31.0,,,,,,2024/6/16
40,e06d105655a64317806c73a15481c1c4,e69f461129c9437090dc25ca55dd9b6d,,北京京东酒世界万丰路店,-1,100,ed852cac98cb4217a99ae3eac3b33ce6,6.02403E+17,4.02405E+17,60,wrd 8 业务员到店不让动商品陈列，告知老板在的时候再来。 密码锁在门框左侧电视下面，密码110106 联系电话：15612350675,45:50.0,09:03.0,1,,,0,2,2025/4/17
42,6912140d9da74fe99dca8cb4ec84905a,dcca04f631144d9ca1fb4e5a5651002a,,（废弃）同庆网咖,1,100,,1,,-1,,11:31.0,48:31.0,1,,,,,2024/8/19
44,d6e8d3b9e0a74d04826b30e73c542b85,a6447b4230cc441fb58e1c69677e51b5,,朱安羽小店一,1,100,5348886ca1b741a38c1d57b0bd4bbd51,6.02403E+17,4.02409E+17,-1,1. 该店晚上不售卖熟食 2. 购买可送一个棒棒糖 3. 香烟在柜子下面12356,00:21.0,26:01.0,1,91e389c625eb44f89688d9423f589b1a,,0,0,2025/4/16
46,d6e8d3b9e0a74d04826b30e73c542b85,117b7b7414af40c387bad1d517c9e46b,,朱安羽小店二,1,100,3841eea651b84dc0bbb961567cc7f01c,8.9833E+14,TESTPRD001,-1,1. 朱安羽小店二 2. 2024年6月29日122,00:59.0,59:22.0,1,2b076591f9f9443c8075a02503d4fa40,e4a036aa6c30475ead5cb5435f8ec44e,0,0,2025/4/17
48,f583b2a1d5ce4c90969cc5a3f5330e9a,6d54a7379ff84e8c886692b7ff68706b,,零福记杭州三义店,-1,100,dcc962790183442c89a7206d27b2294b,6.02403E+17,4.02405E+17,-1,1.进店就提示：自助购物无法使用会员结算，黑布遮盖的商品晚间不售卖。 2.顾客不想要的商品，如不想放回原处，提示放到：收银台上顾客左手购物框里。,59:41.0,10:43.0,1,,,0,,2025/3/10
50,168c2b7a438d4ceaaffb5efc55cae8c1,7132306a261449d295aaf1d9a5119d55,,杭州萧山八杠六便利店,1,100,255052fa1a68418e88d0c619f7facaf5,6.02403E+17,4.02405E+17,-1,买任意一条烟送两个一元打火机 面向门的左侧门是门禁控制的（没有物料的门）,10:57.0,19:59.0,1,,,0,2,2025/4/23
52,5041d144987841b7863a54edb5f49f48,c6189ee12e564ed3943c3efc3ab9435b,,同庆网咖,-1,100,d2c3b770598a432696cd7852773d047b,6.02403E+17,4.02407E+17,-1,,52:17.0,28:52.0,1,,,,,2024/8/11
54,73685cc5d08841528d54e7bcfc16aca9,649bab2bad104489b3ed5209710d1b1b,,中国电建智慧无人超市,-1,100,f194f30b60634141b0633932bdf02dfd,6.02403E+17,4.02409E+17,-1,wrd 14 不用提示店主固定转动摄像头，店主不想固定,25:25.0,41:04.0,1,,,0,0,2025/4/20
56,eb16078cf94b44a1aac10b8304846a85,986054bb17ec4f9c9f4628ff15857779,,漯河市恩泽新零售超市,1,100,79e2ca49e82045dda8ca262cd4759bcc,6.02403E+17,4.02405E+17,-1,wrd16 1.纸巾不拆包卖，单包没有码；打火机扫2元，不上码，有买的可以添加临时订单。 2.订单生成时间需要几十秒（订单生成中），提示顾客别着急，稍等一下就好了。 3.有图像子码流时间与北京时间不同步，查看时需要切到主码流查看，不要设置时间不同步的图像为主摄像机，无法判断实时情况。,17:34.0,11:18.0,1,,,0,2,2025/4/23
58,e5e3ddbdea1c4451a3fd5a4f27290c1f,282ee8f5f117447d99386b6a34874efd,,浙江雅诗澜家居有限公司,1,100,,6.02403E+17,,-1,,42:35.0,12:22.0,1,,,0,4,2025/4/13
60,96dd43dab4804d02ae3f27fcaf132b29,85079baf5e4c482cb4d38d4edf6b093d,,洛阳熙萌便利店,1,100,54ec1ab6d3bb44d5bdae936d6c492c7b,6.02403E+17,4.02406E+17,-1,1.不给主动开门，老板担心不扫码。老板电话18137956811 2.活动：糖果进店免费送，迎宾语完毕就播送糖果的录音话术。 3.成条烟可以拆包 4.青年多，乱，要特别关注 5.打火机的码在收银台上贴着 6.农夫山泉业务员每周三来，可以让摆陈列，不带走东西就行。不用群里报告老板了。 7.保鲜膜包好的水果是10元，没码的扫桌子上的码。,39:41.0,41:16.0,1,,,0,2,2025/4/23
62,d2f8c48a17b04949ab458ff655cd1942,5c6f838302eb4cfc86369be83d194b9b,,资溪面包鉴湖店,1,100,b84763cd135c45d787b2e519278e1d2b,6.02403E+17,4.02406E+17,-1,开门密码9110 提醒顾客：按购买份数取用打包手提袋、一次性勺，一次性吸管等。注意别让一个顾客多拿走了。,44:31.0,03:08.0,1,7bee3f373d3f4891bdb8b29240b32b49,c1f1000fc4fc4558a88a98ef6f2d7aa7,0,3,2025/4/21
64,d2f8c48a17b04949ab458ff655cd1942,f62477ab3d2548ad8137999944154a3a,,资溪面包城中店,1,100,2420731b4d234a1ab89f67758b02a607,6.02403E+17,4.02406E+17,-1,购物袋免费，但不要多拿，有顾客多拿提醒一下。,45:43.0,00:39.0,1,,,0,3,2025/4/23
66,6e89877fec744a3ba832d91ee5b88b50,289b065686794e99b95bff4e282353bf,,沈阳万德福雅颂大苑店,1,100,289b065686794e99b95bff4e282353bf,8.9833E+14,LNWDF2409,-1,1.购物袋扫码收费：大的0.5、中的0.3、小的0.2，在收银台里边挂的 2.成件商品不拆包卖，需要扫单件商品乘以相对应的数量 3.会员活动需要人工操作，晚间享受不了会员活动 4.熟食晚间不售卖 5.晚间不方便在店堂食或滞留休息 6.晚间部分烟下架，需要的话白天到店购买 7.紧急联系人王德伟电话：18628681089 8.门禁密码88888888,22:27.0,22:58.0,2,,0a7b5c44d58248b88247dc3890e65723,0,3,2025/4/23
68,a3cc0235aad9411a9a743a5ad407cf43,e33695ce1aa24db38ce6537849c8168b,,沈阳万德福东软电脑城店,1,1,e33695ce1aa24db38ce6537849c8168b,8.9833E+14,LNWDF2409,-1,1.购物袋大0.5，中0.3，小0.2，打火机在电脑屏幕下方，吸管在收银台里边台面上中间位置。 2.进门左右两侧东西不售卖，晚上会盖起来。成件东西不拆包卖，晚上不卖成条烟。通向东软电脑城的门晚上会锁死 3.密码锁在进门右手边，密码锁密码12345678 4.万德福东软店店长，梁皓然166 1998 5175,11:19.0,51:44.0,2,,6b2c12adc300438fb77336962f49a13f,0,3,2025/4/23
70,3e414963b2514c6899967f58d7547da1,af57bdc280ca4523ba6b5bb8538e0cee,,7-11海康四期店,1,100,fa4f9aec8c9e4ac19d4cb2810d419ad7,6.02403E+17,4.02406E+17,60,1.购物袋收费：大的1元、小的9角，有条码 2.不卖烟酒。成件商品外包装有标识的不可以拆包，没标识的可以拆包卖。 3.值守时间23点-6点 4.来消费的都是海康园区员工 5.冷藏柜旁边的白门是杂物间，晚间上锁。 6.让顾客使用微信支付，支付宝可能支付失败。,43:38.0,12:35.0,1,92e906ff835d431aaab96763bce63108x,91feabd943da44228516eece5a5c3ca9x,0,3,2025/4/23
72,bdb9725edb07427a829e286d52f6b50a,5a47733d263347068bfa0b361ce05d8d,,成都米香满村超市,1,100,a834205c07484e279fadcfd7bab5c906,6.02403E+17,4.02406E+17,-1,收银屏点确认才能同步老板另一个电话13228177909，散装糖果无人期间不方便称重，无法售卖。成件的水及成条的烟可以拆件售卖,37:29.0,17:47.0,1,,,0,2,2025/4/23
74,2b806a743660439f8162fc8a847d5fb5,672fe805a713442786f33386ab6173ff,,废弃,-1,100,,6.02403E+17,,-1,,44:38.0,12:11.0,1,,,0,,2025/3/10
76,414ce9889b33444999f85ffcaf56848e,5f3c5c37787e41ed9a82604bc5168717,,蓝莓叔叔 空港旗舰店,-1,100,efda6ffc4f5c4625b1b18e49df283979,6.02403E+17,4.02406E+17,-1,wrd17 不要给操作关闭值守，即使有员工，也正常指导顾客购物 1. 不让进收银台        2. 无码或扫不上码暂不售卖 3. 没有烟，成件水可以拆包卖 4. 收银台里装散装蓝莓处是个冷藏柜，注意柜门从外面可以拉开。 5.17:00-21:00杨秋萍打扫卫生，每个店工作2小时。 6.老板电话：139 5712 1588,13:50.0,13:12.0,1,,,0,,2025/3/8
78,6dc22fd2fc544db3a83d2b606c23018a,7e7169d110ee45b8a483edda696dfbbb,,东莞市金丰便利店,-1,100,9d2b53208b5e417a962dc935223a012b,6.02403E+17,4.02407E+17,-1,wdr18 1.购物袋免费 2.成条烟收起来，成件水可拆箱，没有整箱价格 3.无人值守期间没有不销售的商品 4.店铺在物流园内（属于小区） 5.没有固定开关时间，根据店内忙闲情况 6.开门密码：232308,54:13.0,34:58.0,1,,,,,2024/8/12
80,b5fdc53f745f490e8ef65d179556d1a5,c5fe9da511f3421586e1572aec8ab418,,瑞安春友时分（佳欣店）,1,100,02d2ccd468584f53bab2dd48ee751311,6.02403E+17,4.02406E+17,80,提示一下：散装称重商品不售卖，成条烟晚间不售卖，可以白天到店购买，不售卖口罩 打火机：防风的2.2元，普通的1.1元,46:51.0,42:41.0,1,,,0,2,2025/4/23
82,f2fff0e2d0d24a20abb16df44f921a3a,32c4d1400cd94b61a35886e42151500e,,云眸测试账号,-1,100,,1,,-1,,55:25.0,55:25.0,1,,,0,,2025/2/8
84,b642aca146d4456b86eddc153dd9bd99,5051e6d7bf524387bdaccce1e1a1a059,,十足杭州河东店,1,100,6fed107127bf4540a29fa6528759b796,8.9833E+14,HZSZBLD3611,-1,不能堂食，只能接热水，不能操作机器加热 晚间不卖香烟和彩票，会收起来。购物袋是中袋（黑白两种颜色)0.6元，摆在外面的货物可以拆包,07:19.0,31:32.0,1,,,0,3,2025/4/23
86,138023319a3244e188121d6f9c3d1ba9,2b2361e79a1f445bb66edc3571de767f,,郑州美宜佳高新逢源店,-1,100,868b967e556c4a7ab763f6b72dd7a45a,6.02403E+17,4.02406E+17,-1,1.购物袋收费2角有码，在收银台外侧，其他规格收起来。实在扫不上可以免费送 2.值守时间3：00-7：00，不卖成条烟，可拆包成件水 3.无人期间彩票兑奖：告知顾客，白天工作人员在店再来兑奖。无人期间不卖彩票，会收起来。 4.扑克扫不上码，收银台里边货架上，3元。扫不上码，建议更换其他商品。 5.暂时没打火机,15:20.0,34:44.0,1,,,0,,2024/12/26
88,414ce9889b33444999f85ffcaf56848e,697a87d4f5d34fd68aa245b8812f00ce,,蓝莓叔叔靖江店,-1,100,bf9460541e5945e79433e3f766c11f13,6.02403E+17,4.02406E+17,-1,1.水果价格根据上价，会有波动，如果您买的特别便宜，可能赶上促销活动了。 2.购物袋挂在收银台侧面。 3.不要给操作关闭值守，即使有员工，也正常指导操作    17:00-21:00杨秋萍13857177473，每个店工作2小时。   4.老板电话：13957121588,15:24.0,25:50.0,1,,,0,0,2025/4/8
90,95d0cc975d2249249ced74af4b79dd74,7569fcdc36944028a8668b760129328a,,高宇辰门店1,1,100,37e5b42fa669474b9ab29e7a82bc4107,1,,-1,,11:00.0,24:37.0,1,,,0,0,2025/4/12
92,76e7c1455ad3494c8f0f826ff012fffe,ccd1a92dff6f4157bcafe6cc76d2f8e9,,惠买买大印国际旗舰店,-1,100,f5ab54f58a7444ba99b73a978510fe74,6.02403E+17,4.02407E+17,-1,1.出门需要给开门 2.演示门店群里不打招呼可以不接待，内部人，拿东西不收费。 3.群里让配合演示时，全流程配合演示好！,42:01.0,19:08.0,1,,,0,,2024/12/25
94,0d4301f8a0eb47b493de29a9a7f0d3f4,3fd9301017a64d4d90fb3e58e36efe1f,,广东阳江高新区正品商行,-1,100,e6c455ec108b4176a1f29fd5dddc4370,6.02403E+17,4.02408E+17,60,,26:28.0,54:03.0,1,,,0,,2024/12/21
96,311f2aea1bff442ab6f3549aebe1cc95,1a2ac82e0e69490c94521269aecf16aa,,沈则宇进件店铺,1,100,9bb82af59b404016a2916b0cf46ae116,6.02403E+17,,-1,,23:02.0,21:28.0,1,,,0,0,2025/4/21
98,4796684177ff4e939f58af8a7747b328,77181a3e59ff412697bfcc95c2d33fc1,,内黄县娟娟便利店,-1,100,,1,,-1,,35:00.0,35:00.0,1,,,0,0,2025/4/16
100,9a885ceaeb4e464ba61f0b9907d7f2f3,278e049df5a94dfd8f22151cd94e37dc,,临海美宜佳白云小区店,-1,100,486df7d8de71456b8faf67e6e60281b8,6.02403E+17,4.0241E+17,-1,1.购物袋免费，成件商品可以拆包售卖 2.棒棒糖条码在盒子上 3.成件商品箱上有码，不需要扫单个商品条码乘以相应数量。 5.图像中冷饮柜比较远，顾客如动冰柜都提示一下请帮关严冰柜门 6.紧急联系电话：15858690880,28:26.0,01:38.0,1,,,0,,2025/1/24
102,0769edad37cb4653b02b8ec5340b51c0,99ff51d17c1f4ac3909bae49baa8692d,,来宾市惠生活超市（店铺作废）,-1,100,,6.02403E+17,,-1,,32:03.0,34:06.0,1,,,0,,2024/9/23
104,fcd430bd5963411e8123a4afb8b15ef8,685ba03263aa4b9bbca536f47a9d8058,,瑞安春友时分（吾悦店）,-1,100,d0cf0252bcb547d886c611ffd044ebad,6.02403E+17,4.02406E+17,-1,多人在门前不接待要锁门，如果进店要及时通知老板。 老板电话13958888359，只卖收银台后方玻璃柜和收银台下方透明玻璃处的烟。其余柜里成条的不售卖。不卖成条的烟，成件商品可拆包，附近有未成年人盗抢，值守人员注意。 和老板对暗号 手机号后六位 扫码枪旁边的是坏的火机 上边有打印的条码 或扫小包纸巾,20:52.0,17:01.0,1,,,0,0,2025/4/22
106,e06d105655a64317806c73a15481c1c4,a75946b2f96f4282bdd6fb3ed537a62c,,北京飞龙建业商贸中心,-1,100,7afd5c75a5364cff9ac2e0f68f57919e,6.02403E+17,4.02406E+17,-1,,59:55.0,17:59.0,1,,,0,0,2025/4/21
108,319eccc644144009aef74768f8c1c4e8,69034b47cc364c3fb551be9028dd5640,,娄底市京玉食品商行,1,100,0cf45d83079c4c51ba57494a40a3701b,6.02403E+17,4.02406E+17,-1,自动开门（扫码进店），成条烟及成件商品都可拆包 2.室内小冷藏柜是常温柜，大冷藏柜是冷柜。 3.门外冷藏柜都上锁了，老板不在打不开。,01:25.0,44:55.0,1,,,0,0,2025/4/23
110,246e13674a7745a5bf3734c7803af27a,1c61aaf7234c4000bd48a45ae4d81962,,滕州世通餐饮超市,-1,100,,6.02403E+17,,-1,,16:03.0,16:03.0,1,,,0,,2025/3/12
112,33943b390bc74fe2a861ea1c9525aa29,3651940199964132a518783ba8f685ba,,保康京东便利店,1,100,8c2c6605aa2e40dc81da85ce914c39f0,6.02403E+17,4.02407E+17,-1,购物袋免费，成条烟不售，需要值守时间：2：00-7：00 ，成件水可拆包，有称重商品，无人值守期间不售卖，无法遮挡，需要人工提示 密码：123258#，密码锁在门外，老板电话：18647553888,17:03.0,46:09.0,1,,,0,2,2025/4/23
114,7ce3782bdb3143bbba1fd5ff810f5778,03835865d3c348ec9eb6a17d6ecb6bab,,巩义金好来蚁店星耀便利店（店铺作废）,-1,100,,6.02403E+17,,-1,,35:28.0,55:48.0,1,,,0,,2024/11/2
116,de3a321136a9482385a2725b0cda0eee,ae2eb1f08b4c45a7af40060bef5f4f5e,,成都一天超市,-1,100,9fd3125116fc44f6bc49dc38c63919f1,6.02403E+17,4.02407E+17,-1,wrd31 成包的商品及成条的烟都可以拆包卖 冰柜里拿出来的商品可能有水珠，扫不上的话擦一下条形码 两盒烟赠一个打火机 AD钙奶和旺仔成条的商品扫码出来的是一瓶，要乘以数量 老板电话：15282782684,03:43.0,42:20.0,1,,,0,,2024/12/26
118,fbd83cd7301f435a8e45b8bd042e9cc9,10bdbe986991402da5b05487f1cd38fd,,姐妹女装,1,1,a86f9461b7b348039475e633ce72e68b,6.02403E+17,4.02408E+17,-1,密码锁密码：123456，进门左侧。,42:07.0,58:33.0,1,,,0,0,2025/4/16
120,17b8f7093c284160bfe13f40ef6c02b7,5ba2928f1f14497691a07b95f018e54a,,神农湾宇航平价超市,-1,100,a329a281f3504493bf63a05d46d2ea59,6.02403E+17,4.02408E+17,-1,1.购物袋免费，成件水需要单瓶扫*数量，不卖成条烟，冰柜右侧关不严看不到，用门外头补充看一下 2.无码：螺丝刀，手套，扫把 3.值守时间21点-6点,54:22.0,18:47.0,1,,,0,,2024/9/20
122,f9a352cc64cd4f16b38cad9be3914957,49ec0e0d1d4f4ad4bb26e46a49eb0fbe,,沛县客来金酒水经营部,1,100,375eb32c5f3040ba94246a9f8c10928a,6.02403E+17,4.02407E+17,-1,支付显示慢，出门左侧门是门禁控制的门,07:19.0,07:48.0,1,,,0,0,2025/4/23
124,86a9070ef30b498aac58137f56e4e5cd,d6e555710cf541ca9cd793ac20655b41,,烟台利客便利店,-1,100,be1f14e891274abfbd57bfd824ada92b,6.02403E+17,4.02407E+17,-1,1.密码880731 2.购物袋免费 3.不拆件。 4.店铺在酒店大堂正对门，楼上是酒店公寓 5.营业时间22:00-10:00,05:42.0,01:05.0,1,,,0,,2024/9/25
126,76e7c1455ad3494c8f0f826ff012fffe,884fc001717642c6ae94e89efd0fa537,,他她趣玩纪信路店,-1,100,53344fc6430c4095a2b807d7583955df,6.02403E+17,4.02501E+17,-1,wrd36 桌面上有订书器用于袋子封口 润滑剂：进门右手边货架最里侧。 小件商品用桌面上纸袋装，大件商品用桌面上黑色袋子装,37:43.0,06:16.0,1,,,0,0,2025/4/16
128,51cb2b746b944176ba5c4b252d13362d,c1302e75564b464890a20850c5d0f8c3,,百润优客生活超市（店铺作废）,-1,100,x,6.02403E+17,,-1,wrd37，成件商品可拆包,44:17.0,09:34.0,1,,,0,,2025/4/1
130,b230103578154d6f8f0e044051bdcfba,2676dabf6c4a41bcae390bdad6eab9d3,,香缤便利店,1,100,5947c7d9135740b9869892203681cca3,6.02403E+17,4.02407E+17,-1,微波进店、扫码出门，老板电话：18617001611，门禁密码123456 1.不卖整条香烟，棒棒糖扫外包装盒0.5元/个，扫不上码的打火机都是2元的，着急的话可以代收  3.2024.12.10改格局了，农夫山泉冷藏柜旁边的门是云值守期间的门，雪糕柜边上的门暂时未安门锁值守期间会上锁,55:57.0,52:14.0,1,,,0,0,2025/4/23
132,020d16fa5a5049a6bf4f528542a908b1,f19ce0fab02d442989da2f3821375211,,云眸PB验证账号A,-1,100,,x,,-1,,31:10.0,52:58.0,1,,,0,,2025/3/18
134,020d16fa5a5049a6bf4f528542a908b1,108da236e84e4e4aa2da5eb8a2a9bfbb,,云眸PB验证账号B,-1,100,,x,,-1,,31:48.0,52:50.0,1,,,0,,2024/9/9
136,020d16fa5a5049a6bf4f528542a908b1,2e728dbc239b4889afbe0b02b3f4b8af,,云眸PB验证账号C,-1,100,,x,,-1,,32:12.0,52:40.0,1,,,0,,2024/12/29
138,7048e0f7c7b947cbb8499f3797e46472,0a6f314f0ed54921bcec48203c5ef9ba,,长沙萤石智能家居,1,100,e9b5fd9328b545ffb82bac7707276872,6.02403E+17,,-1,,05:05.0,39:44.0,1,,,0,0,2025/4/23
140,9d7ed6c356414618b6ea5b5bc007ecf4,895f58800ec141f186b11495e0dd8c00,,清远横荷金客隆商贸店,1,100,9ca93d3fff70426f84e1fd91f4af2820,6.02403E+17,4.02407E+17,-1,"wrd33 紧急联系林先生：18316012181  1.购物袋不收费。在收银台里侧白色柜子上，收银台左侧有吸管 2.香烟不成条售卖，成条香烟已锁仓库。 3.穿制服的是酒店工作人员，是安全人员，截图在无人店统计表里面。每天工作人员19点会来开灯，凌晨3点半关灯。未穿制服的让工作人员在群里说句话，没在群里我们截图报群里。 4.不要和顾客说超市是旁边酒店的,问老板是不是全季酒店的，就说不知道。",23:30.0,40:24.0,1,8bd3625c55d64a0db805cca2f023283e,e6c3ab1082854f7c8a958a3d1776dc4c,0,0,2025/4/23
142,ef6fab00df304c0a92beaceb9b688354,6cd50d838dfd41d99fd833babce9aeba,,象山开森便利店,1,100,3f5d10ac9325449b9a4ca39b67ddd7fc,6.02403E+17,4.02407E+17,-1,1.购物袋免费在收银台侧面，收银台前方格子内有酸奶吸管，成条烟可成条或单盒销售，烟区在收银台后面小屋里。不二家棒棒糖1元无码 2.成件儿酒水均可拆箱销售 3.第二紧急联系人：18658297215 4.办公室晚间上锁，值守时间23点-8点,33:45.0,33:27.0,1,,,0,0,2025/4/23
144,00894a6e81794aeca8558deea55dbd7d,040989daf40141b0adf82b77cece6cc6,,泌阳储备库副食,-1,100,,6.02403E+17,,-1,,41:06.0,41:06.0,,,,,,2024/7/9
146,5306d78550814861b83c8a373ac00738,c1d9c265006d479c8de3ca43ae73208d,,商铺布局测试店铺,-1,100,caa6bbf362f8431989ece2049b3426c1,1,,-1,,43:58.0,58:15.0,1,,,0,,2024/12/11
148,020d16fa5a5049a6bf4f528542a908b1,1bc7aedb5a214d368c3cf83d88a5a405,,云眸线上测试店铺A,-1,100,,x,,-1,,01:36.0,03:09.0,1,,,0,,2024/12/29
150,020d16fa5a5049a6bf4f528542a908b1,01d63423146b44bf8be8f9705d63f5b9,,云眸线上测试店铺B,-1,100,,x,,-1,,02:17.0,03:03.0,1,,,0,,2025/3/2
152,020d16fa5a5049a6bf4f528542a908b1,f18e6510dc7a422889ff24b2ea7cb904,,云眸线上测试店铺C,-1,100,,x,,-1,,02:49.0,02:57.0,1,,,0,,2025/4/6
154,f2fff0e2d0d24a20abb16df44f921a3a,3bee09cfa091429fafb63849d6494384,,云眸线上测试店铺D,-1,100,,x,,-1,,30:34.0,30:34.0,,,,,,2024/7/17
