id,order_id,product_id,product_name,product_url,product_price,product_count,create_time,update_time,dt,category,position,stock,sales
2582244,YS202504190058340001,6.90E+12,味动力 白桃味乳酸菌饮品 308ml/瓶,,6,1,58:35.0,58:35.0,2025/4/23,饮料,A10,23,46
338534,YS202410050439160001,6.90E+12,吉列清新柠檬型剃须泡210g,,28,1,39:16.0,39:16.0,2025/4/22,零食,B11,54,50
406792,YS202410221122010001,6.90E+12,隆力奇400ml黑芝麻洗发水（ACMA)（终端BB版）,,8.5,1,22:01.0,22:01.0,2024/12/23,日用,A10,54,88
554774,YS202411192005580001,6.90E+12,小儿氨酚黄那敏颗粒,,12,1,05:59.0,05:59.0,2025/3/1,药品,B11,11,10
1342814,YS202502120133040001,6.90E+12,康师傅香爆脆芝士火鸡口味 45g,,2,1,33:04.0,33:04.0,2025/3/7,零食,A11,88,23
565450,89833010718361120241121PRD000128,6.90E+12,健力宝酸梅汤310ml,,5,1,08:10.0,08:10.0,2025/1/24,饮料,B12,90,73
2192850,YS202504031804130001,6.90E+12,软真龙一条,,76,2,04:14.0,04:14.0,2025/4/14,零食,A11,35,33
2526266,YS202504170126090001,6.90E+12,大宽窄*20支,,90,2,26:10.0,26:10.0,2025/4/17,零食,B12,39,34
867378,YS202501030428420001,6.90E+12,贵烟20支,,50,1,28:42.0,28:42.0,2025/4/21,烟草,A12,15,34
412768,YS202410240004460001,6.90E+12,长白山国风中支,,23,1,04:47.0,04:47.0,2025/3/26,烟草,B13,3,40
2465248,YS202504141929410001,6.90E+12,荷花经典中支,,40,1,29:41.0,29:41.0,2025/4/14,烟草,A12,65,73
4416,2.02E+21,6.90E+12,黄山（硬记忆）,,11,1,21:11.0,21:11.0,2024/6/10,烟草,B13,77,68
3688,7faa7e94ced146838c65e80a4592f136,6.90E+12,娇子（宽窄醇香中支）,,23,1,12:49.0,12:49.0,2024/12/3,烟草,A13,14,24
995320,YS202501162354580001,6.90E+12,长城(迷你咖啡)香烟(包),,25,1,54:58.0,54:58.0,2025/4/8,烟草,B14,12,75
9710,2.02E+21,6.90E+12,芙蓉王(硬),,250,1,14:09.0,14:09.0,2025/4/20,烟草,A13,18,79
1490380,YS202502240910090001,6.90E+12,牡丹（红中支）,,280,1,10:09.0,10:09.0,2025/3/18,烟草,B14,24,89
293586,YS202409250146330001,6.90E+12,aaaa,,22,1,46:34.0,46:34.0,2025/3/16,电池,A14,8,75
1945950,YS202503230557420001,6.90E+12,钻石(一品荷花),,85,1,57:42.0,57:42.0,2025/4/9,零食,B15,98,27
332094,YS202410032256350001,6.90E+12,钻石蓝玉蓝,,17,1,56:35.0,56:35.0,2024/12/26,珠宝,A14,93,79
740442,YS202412180821500001,6.90E+12,红塔山软经典（条）,,105,1,21:51.0,21:51.0,2025/3/29,烟草,B15,29,16
1900594,YS202503210718090001,6.90E+12,锦绣日子8848,,22,1,18:10.0,18:10.0,2025/3/21,零食,A15,93,41
1017758,YS202501190041200001,6.90E+12,9度青岛空间啤酒330*12听,,35,1,41:21.0,41:21.0,2025/4/13,烟酒,B16,78,61
2067880,YS202503290016160001,6.90E+12,青岛提盒棕金/提盒,,38,1,16:17.0,16:17.0,2025/3/30,包装,A15,98,64
337534,YS202410050102350001,6.90E+12,泰邦（弹性）创口贴,,0.22,4,02:36.0,02:36.0,2025/4/16,医药,B16,10,60
2034886,YS202503271034260001,6.90E+12,△佳宝无花果110g,,13.5,1,34:26.0,34:26.0,2025/4/14,零食,A16,96,75
1042240,YS202501210247380001,6.90E+12,海王酒110m,,5,1,47:39.0,47:39.0,2025/3/29,零食,B17,46,29
393776,YS202410190858430001,6.90E+12,士多啤梨味威化饼,,7,1,58:43.0,58:43.0,2025/4/20,零食,A16,61,62
1914874,YS202503220044020001,6.90E+12,光明如实无添加发酵乳１３５克　,,9.5,1,44:02.0,44:02.0,2025/4/1,零食,B17,57,21
397800,YS202410200428070001,6.90E+12,光明原味风味发酵乳190g,,5.5,1,28:08.0,28:08.0,2024/12/16,零食,A17,99,40
567760,YS202411220947460001,6.90E+12,白酒孔府家老陶52度,,40,1,47:46.0,47:46.0,2025/1/3,酒,B18,14,94
1358492,YS202502131447410001,6.90E+12,XN维达V2253自然无香M码3层抽取式面巾纸[100抽*10包],,20,1,47:41.0,47:41.0,2025/4/3,纸,A17,6,47
551278,89833010718361120241119PRD000026,6.90E+12,维达超韧纸手帕4层(自然无香),,1,1,48:48.0,48:48.0,2025/4/22,纸,B18,58,73
23802,YSWRD2024062922453127900001,6.90E+12,维达抽纸,,3.5,1,45:31.0,45:31.0,2025/1/13,纸,A18,28,22
398024,YS202410200533240001,6.90E+12,V2900棉韧奢柔80抽3层M码抽取式纸面巾,,6.5,1,33:24.0,33:24.0,2024/12/12,纸,B19,67,8
410558,YS202410230638030001,6.90E+12,至有份量维达卫卷 160g,,3,1,38:04.0,38:04.0,2025/1/21,零食,A18,54,96
974022,YS202501142102430001,6.90E+12,太阳锅巴袋装手封（麻辣口味）130g,,6.8,1,02:44.0,02:44.0,2025/4/22,零食,B19,84,58
2408274,YS202504121125310001,6.90E+12,五粮液普8,,1088,2,25:32.0,25:32.0,2025/4/12,酒,A19,13,80
2492058,YS202504152038590001,6.90E+12,雷达电热蚊香片15片+拖线式加热器100mg*15片,,25,1,39:00.0,39:00.0,2025/4/21,家居,B20,78,1
490676,YS202411090027560001,6.90E+12,趣多多大块曲奇黑巧克力味144g,,15.5,1,27:57.0,27:57.0,2025/4/18,零食,A19,64,53
1936538,YS202503222330430001,6.90E+12,N南孚七号碱性4只挂卡装(4粒),,13.8,1,30:44.0,30:44.0,2025/4/9,电池,B20,58,67
647028,YS202412050300550001,6.90E+12,550ml恒顺金香金优香醋,,12.65,1,00:56.0,00:56.0,2025/2/26,调味,A20,20,84
784036,YS202412241209240001,6.90E+12,550ml恒顺金恒顺香醋,,9.3,1,09:25.0,09:25.0,2025/1/21,调味,B21,9,96
2145462,YS202504011224510001,6.90E+12,蓝月亮洗手液,,10,1,24:51.0,24:51.0,2025/4/8,日,A20,67,17
428590,YS202410270857250001,6.90E+12,蓝月亮洗衣液清香型3kg,,39,1,57:25.0,57:25.0,2025/4/22,清洁,B21,48,61
392758,YS202410190310290001,6.90E+12,娃哈哈100%苹果汁350g,,5,1,10:29.0,10:29.0,2025/4/23,饮料,A21,85,2
876606,YS202501040428130001,6.90E+12,娃哈哈激活柠檬,,4.5,1,28:14.0,28:14.0,2025/3/22,饮料,B22,63,57
565600,YS202411212335250001,6.90E+12,娃哈哈营养快线水果酸奶1.5kg,,12,1,35:25.0,35:25.0,2025/4/16,乳,A21,0,81
299288,YS202409261740310001,6.90E+12,清扬洗发露-男士多效水润175ml（1箱*12瓶）,,20,1,40:32.0,40:32.0,2025/4/21,洗,B22,77,57
383726,YS202410170059450001,6.90E+12,200ML力士（恒久嫩肤）沐浴露*12a,,16,1,59:45.0,59:45.0,2025/4/6,洗,A22,28,29
1081906,YS202501241441100001,6.90E+12,嘉顿椰子威化200g,,11.5,1,41:10.0,41:10.0,2025/3/19,饼干,B23,59,97
1384782,YS202502152047500001,6.90E+12,嘉顿原味梳打饼420g,,13.8,1,47:51.0,47:51.0,2025/2/26,零食,A22,76,2
870822,YS202501031912020001,6.90E+12,200g海天马铃薯生粉,,5.5,1,12:03.0,12:03.0,2025/3/31,调味,B23,92,94
1011678,YS202501181202080001,6.90E+12,N海天9度纯酿米醋[450ml],,7.5,1,02:09.0,02:09.0,2025/4/16,调味,A23,66,31
955196,YS202501122018310001,6.90E+12,480ml海天0添加头道酱油,,21.8,1,18:32.0,18:32.0,2025/2/16,副,B24,50,0
1478926,YS202502231115220001,6.90E+12,海天草菇老抽ml,,12.5,1,15:22.0,15:22.0,2025/2/23,调味,A23,10,21
9572,2.02E+21,6.90E+12,脉动1l,,7,1,04:28.0,04:28.0,2025/3/28,饮料,B24,33,57
9470,2.02E+21,6.90E+12,百事可乐 无糖可乐型汽水 500ml,,3.5,1,46:05.0,46:05.0,2025/2/17,汽,A24,10,99
2116464,YS202503310216130001,6.90E+12,2L美年达,,7.5,1,16:13.0,16:13.0,2025/3/31,饮料,B25,29,46
724080,YS202412152343070001,6.90E+12,双汇王中王火腿肠350克1*10,,13.5,1,43:07.0,43:07.0,2025/4/15,肉,A24,54,87
292078,YS202409242012320001,6.90E+12,双汇 玉米热狗 65g/个,,3,1,12:32.0,12:32.0,2025/1/4,热狗,B25,92,26
325850,YS202410021515290001,6.90E+12,即食台湾风味烤香肠,,2.5,1,15:29.0,15:29.0,2025/2/2,即食,A25,1,1
908300,YS202501072036480001,6.90E+12,双汇玉米火腿,,10,1,36:48.0,36:48.0,2025/3/17,类制品,B26,54,46
2701770,89833010718361120250422PRD000335,6.90E+12,史蜜斯德式烤猪肘55g,,7.9,1,47:26.0,47:26.0,2025/4/22,肉类,A25,19,8
1333174,YS202502110309530001,6.90E+12,双汇弹脆大肉枣椒麻风味36g,,1.9,1,09:54.0,09:54.0,2025/4/9,零食,B26,6,71
783806,YS202412241101230001,6.90E+12,厨邦 酱油 1.63l/瓶,,24,1,01:24.0,01:24.0,2025/3/10,酱油,A26,93,23
1115884,YS202501271249530001,6.90E+12,厨邦三鲜鸡精,,5,1,49:53.0,49:53.0,2025/3/6,调味品,B27,12,79
6318,2.02E+21,6.90E+12,飘柔 家庭护理兰花长效清爽去屑洗发露 400ml/瓶,,19,1,59:43.0,59:43.0,2024/8/10,洗发,A26,89,39
459034,YS202411031057290001,6.90E+12,汰渍508g洗衣粉- 净白去渍（柠檬清新型）(1件*12包),,5,1,57:30.0,57:30.0,2024/12/7,清洁剂,B27,13,37
1132726,YS202501281833550001,6.90E+12,护舒宝超值棉柔贴身夜用卫生巾280mm 10片,,6.5,1,33:56.0,33:56.0,2025/4/11,卫生,A27,44,36
1454748,YS202502211910520001,6.90E+12,汰渍无磷型洗衣粉 1kg,,13,1,10:53.0,10:53.0,2025/3/9,洗衣,B28,16,3
526,2455c3ebbaf8435d8559a4702284303e,6.90E+12,七度空间女生护垫(无香)(18片),,4.9,2,20:46.0,20:46.0,2024/11/3,护垫,A27,60,26
540424,YS202411170158250001,6.90E+12,6212七度空间12P纤巧日用,,18.59,1,58:26.0,58:26.0,2024/12/5,日用,B28,87,8
934404,YS202501101738090001,6.90E+12,七度空间250mm果滋润极薄棉日用卫生巾10片SGD8110,,18,1,38:09.0,38:09.0,2025/1/10,卫生,A28,53,50
2380216,YS202504110923270001,6.90E+12,柔影180克10粒无芯,,18,1,23:27.0,23:27.0,2025/4/20,文具,B29,11,55
1160354,YS202501292246530001,6.90E+12,春娟袋装黄芪霜,,8,1,46:53.0,46:53.0,2025/4/22,护肤,A28,88,15
1450590,YS202502210637230001,6.90E+12,五丰巧克力夹心雪糕35g,,1,2,37:23.0,37:23.0,2025/3/30,甜品,B29,0,34
324364,YS202410020432320001,6.90E+12,爽一族小棒棒果味冰棍,,5,1,32:32.0,32:32.0,2024/12/16,冰棍,A29,21,43
1212360,YS202502012112150001,6.90E+12,N蜂花小麦蛋白护发素(450ml),,9.9,1,12:15.0,12:15.0,2025/2/18,洗发,B30,8,33
1740206,YS202503121839420001,6905181004,苹果,,10,1,39:42.0,39:42.0,2025/4/15,水果,A29,70,44
1499980,YS202502250240080001,6905181027,毛巾,,10,1,40:09.0,40:09.0,2025/4/8,洁具,B30,52,90
1749714,YS202503130342240002,6.91E+12,小王子麦烧龙虾味100g,,4,1,42:25.0,42:25.0,2025/4/14,闲零食,A30,87,72
550282,YS202411182219030001,6.91E+12,酸梅汤,,1,1,19:03.0,19:03.0,2025/3/27,饮品,B31,29,9
1637214,YS202503060957020001,6.91E+12,56度红星二锅头酒（绿扁）,,10,1,57:03.0,57:03.0,2025/3/18,白酒,A30,74,44
7176,2.02E+21,6.91E+12,阿华田 燕麦乳原味饮料 330ml,,6,1,00:37.0,00:37.0,2025/1/4,饮料,B31,3,42
418700,YS202410250403590001,6.91E+12,五羊榴莲味雪糕73g,,4,1,04:00.0,04:00.0,2024/11/9,甜品,A31,11,73
1567346,YS202503012110550001,6.91E+12,五羊牌（甄鲜冰淇淋）,,5,1,10:55.0,10:55.0,2025/4/9,冰激,B32,45,97
1366250,YS202502140304060001,6.91E+12,五羊飞鱼（香草）,,2.5,1,04:07.0,04:07.0,2025/4/8,香鱼,A31,49,63
1039862,YS202501210028380001,6.91E+12,强生婴儿清润保湿霜25g,,1.9,1,28:38.0,28:38.0,2025/4/9,护肤,B32,87,96
1542088,YS202502280607260001,6.91E+12,奇强速效洗衣粉455g,,5,1,07:27.0,07:27.0,2025/3/21,洗衣,A32,18,90
577886,89833010718361120241123PRD000169,6.91E+12,伊利纯牛奶240ml,,2.7,1,51:30.0,51:30.0,2025/2/24,乳饮,B33,49,93
1886440,YS202503201648390001,6.91E+12,伊利须尽欢绿茶牛乳酪味冰淇75g,,16.5,1,48:39.0,48:39.0,2025/3/31,冰品,A32,56,40
1869612,YS202503191908590001,6.91E+12,须尽欢,,16,1,08:59.0,08:59.0,2025/4/14,品名称,B33,96,25
1265316,YS202502050341050001,6.91E+12,兵工厂  食用冰,,4,1,41:06.0,41:06.0,2025/4/6,冷冻,A33,94,67
1330188,YS202502110014580001,6.91E+12,青蛙套装系列171B牙刷（双）,,6.8,1,14:58.0,14:58.0,2025/4/9,牙刷,B34,70,96
1310412,YS202502090239580001,6.91E+12,百事七喜#,,7.5,1,39:59.0,39:59.0,2025/3/30,饮料,A33,11,6
1132214,YS202501281818390002,6.91E+12,美年达碳酸饮料橙味330ml*6,,12,1,18:40.0,18:40.0,2025/4/3,饮料,B34,81,69
1021394,YS202501190450020001,6.91E+12,湖羊糯米黄酒350ml,,2,1,50:02.0,50:02.0,2025/3/17,黄酒,A34,55,69
939660,YS202501110205220001,6.91E+12,老爸豆腐干肉汁味,,5,1,05:23.0,05:23.0,2025/4/23,零食,B35,77,0
1104840,YS202501261217280001,6.91E+12,超能 离子去油洗洁精西柚祛腥 1kg/瓶,,12,1,17:29.0,17:29.0,2025/2/24,洁用品,A34,51,19
2668114,YS202504212034090001,6.91E+12,美怡乐公仔,,2,1,34:09.0,34:09.0,2025/4/23,玩具,B35,15,87
329672,YS202410030653500001,6.91E+12,棒棒糖,,0.49,2,53:51.0,53:51.0,2024/12/24,糖棍,A35,1,81
901422,YS202501070045020001,6.91E+12,迷你酸条,,2,1,45:03.0,45:03.0,2025/4/22,酸条,B36,72,70
495532,YS202411092108050001,6.91E+12,可比克牛肉味薯60g/袋,,4,1,08:05.0,08:05.0,2025/4/16,零食,A35,18,89
548272,YS202411181345280001,6.91E+12,可比克经典复合薯片番茄味100g,,8.9,1,45:28.0,45:28.0,2025/4/23,零食,B36,46,35
2440630,YS202504131911550001,6.91E+12,燕京90,,25,1,11:56.0,11:56.0,2025/4/17,啤酒,A36,80,42
832976,YS202412302259010001,6.91E+12,洁柔Ｆａｃｅ黑古龙水香１２０抽,,7.9,1,59:01.0,59:01.0,2025/3/26,纸巾,B37,42,3
1091480,YS202501250711340001,6.91E+12,洁柔自然无香100抽,,4,1,11:35.0,11:35.0,2025/3/13,纸巾,A36,59,59
179684,YSWRD2024082814131773100001,6.91E+12,洁柔手帕纸,,1,1,13:18.0,13:18.0,2025/2/20,纸巾,B37,28,90
475140,YS202411060103090001,6.91E+12,*唐山啤酒特制清爽11°纸箱500ml,,4,1,03:09.0,03:09.0,2025/2/6,啤酒,A37,94,64
645820,89833010718361120241205PRD000006,6.92E+12,川南麻辣萝卜干62g,,3.8,1,09:02.0,09:02.0,2025/4/16,零食,B38,50,72
1113924,YS202501270502210001,6.92E+12,川南麻辣萝卜干（包）53g,,3.5,1,02:22.0,02:22.0,2025/4/19,零食,A37,47,54
401350,YS202410210148370001,6.92E+12,川南口口脆菜心,,4,1,48:38.0,48:38.0,2024/12/11,零食,B38,90,70
1581432,YS202503021612300001,6.92E+12,果蔬酸奶饮品,,5,1,12:31.0,12:31.0,2025/4/16,饮品,A38,32,30
566856,89833010718361120241122PRD000058,6.92E+12,百事可乐太汽白柚青竹味500ml,,4.5,1,59:49.0,59:49.0,2025/1/24,饮料,B39,36,55
756128,YS202412201806010001,6.92E+12,美年达葡萄味,,4.5,1,06:02.0,06:02.0,2025/2/16,饮料,A38,58,94
767424,89833010718361120241222PRD000053,6.92E+12,妙洁源蔗纸碗320ml*10只装,,6.9,2,10:07.0,10:07.0,2025/4/5,错误,B39,52,46
329598,YS202410030619100001,6.92E+12,雀巢1+2原味固体饮料即溶咖啡饮品,,12.9,1,19:10.0,19:10.0,2025/3/11,即溶,A39,44,98
402548,89833010718361120241021PRD000002,6.92E+12,雀巢丝滑榛果268ml,,6.5,1,03:13.0,03:13.0,2025/4/20,饮品,B40,72,89
1438456,YS202502200710300001,6.92E+12,雀巢咖啡特调果萃 沁风桃桃风味#,,12.9,1,10:30.0,10:30.0,2025/3/1,饮品,A39,8,50
5276,2.02E+21,6.92E+12,雀巢  斗牛士  能量咖啡风味饮料  250ml,,6,1,14:58.0,14:58.0,2024/12/9,咖啡,B40,70,25
1148738,YS202501291010390001,6.92E+12,丹丹红油豆瓣950g,,15,1,10:39.0,10:39.0,2025/3/8,调料,A40,0,42
8576,2.02E+21,6.92E+12,雀巢 8次方巧克力味芝麻脆皮香草味雪糕  84g,,10,1,21:59.0,21:59.0,2024/11/17,雪糕,B41,6,77
1742386,YS202503122147570001,6.92E+12,雀巢,,4,1,47:58.0,47:58.0,2025/4/17,食品,A40,66,46
541210,89833010718361120241117PRD000110,6.92E+12,雪花淡爽瓶500ml,,5,1,08:49.0,08:49.0,2024/12/24,洗护,B41,60,65
1108516,YS202501262227240001,6.92E+12,58g遛洋狗五香牛肉干,,14,1,27:25.0,27:25.0,2025/2/18,零食,A41,48,81
1593516,YS202503030737390001,6.92E+12,白云透明伞,,13.5,1,37:39.0,37:39.0,2025/3/15,伞伞,B42,80,50
4408,2.02E+21,6.92E+12,康师傅 大食桶  香辣牛肉面  112.5g,,5.5,1,39:22.0,39:22.0,2024/11/17,面食,A41,86,59
4426,2.02E+21,6.92E+12,康师傅  香辣牛肉面  桶面  108g,,4.5,1,22:28.0,22:28.0,2025/3/2,面食,B42,63,36
798914,YS202412261609080001,6.92E+12,立白超洁清新无磷型洗衣粉1.8千克,,19,1,09:08.0,09:08.0,2025/4/18,洗衣,A42,77,63
954312,YS202501121710340001,6.92E+12,立白除菌去渍无磷型洗衣粉900g,,10,1,10:35.0,10:35.0,2025/4/23,清洁剂,B43,19,92
1660654,YS202503080028370001,6.92E+12,屈臣氏碧泉蜜桃味型茶饮料330ml,,4,1,28:37.0,28:37.0,2025/4/6,饮料,A42,28,42
1131914,YS202501281807320001,6.92E+12,康师傅（劲爽）麻辣牛肉面99g,,3.5,2,07:32.0,07:32.0,2025/4/23,面食,B43,3,58
544844,YS202411172228290001,6.92E+12,80g宏源话梅糖,,3,1,28:30.0,28:30.0,2025/4/15,糖果,A43,93,21
590090,YS202411260056540001,6.92E+12,高露洁09200三效优护牙刷3支装,,10,1,56:54.0,56:54.0,2025/3/26,牙刷,B44,86,41
640116,89833010718361120241204PRD000035,6.92E+12,老李五香腿85g,,16.5,1,34:43.0,34:43.0,2025/4/5,肉干,A43,71,38
11592,2.02E+21,6.92E+12,康师傅  经典奶茶  香浓味  500ml,,4,1,36:56.0,36:56.0,2024/9/12,饮品,B44,37,61
1132140,YS202501281815350001,6.92E+12,享食者葡萄千,,5,1,15:35.0,15:35.0,2025/3/26,食品,A44,18,5
2203906,YS202504040122590001,6.92E+12,小金口沙琪玛,,6,1,22:59.0,22:59.0,2025/4/9,食品,B45,36,94
273356,YSWRD2024091922090264500001,6.92E+12,钓满筐鲢鳙,,12.8,1,09:03.0,09:03.0,2025/4/15,渔具,A44,58,38
1217102,YS202502020028000001,6.92E+12,旺旺什锦果肉果冻178g/个,,4,1,28:01.0,28:01.0,2025/4/4,果冻,B45,80,84
1785842,YS202503150301170001,6.92E+12,德清大姆山真空咸鸭蛋60g,,2,1,01:17.0,01:17.0,2025/3/21,蛋类,A45,22,33
418576,YS202410250338130001,6.92E+12,△珍妮诗 去头屑营养洗发水430ml,,20,1,38:13.0,38:13.0,2025/3/30,洗发,B46,33,92
450934,YS202411012222520001,6.92E+12,康师傅珍品爆椒牛肉面,,3,2,22:53.0,22:53.0,2024/12/3,面食,A45,38,6
2714670,YS202504230954340001,6.92E+12,5L鹰唛花生油,,110,1,54:35.0,54:35.0,2025/4/23,食用油,B46,58,11
1293924,YS202502072140040001,6.92E+12,浪桃沙 白桃雪泥,,2,1,40:04.0,40:04.0,2025/4/23,甜品,A46,24,45
486264,89833010718361120241108PRD000045,6.92E+12,宏宝莱俄式大蛋筒抹茶味冰淇淋100g,,6,1,58:22.0,58:22.0,2025/3/2,冰淇淋,B47,40,83
626432,89833010718361120241202PRD000012,6.92E+12,好丽友呀土豆章鱼小丸子味60g,,6.5,1,48:21.0,48:21.0,2024/12/24,零食,A46,47,60
504470,YS202411110319220001,6.92E+12,X好丽友绵融夹心蛋糕(卡布奇诺味)2枚(61g),,5.5,1,19:22.0,19:22.0,2025/1/7,糕点,B47,76,49
1362514,YS202502132354570001,6.92E+12,盼盼薯片原味80g,,4.5,1,54:58.0,54:58.0,2025/4/11,零食,A47,62,0
1474386,YS202502230151530001,6.92E+12,盼盼瑞士卷,,7.3,1,51:53.0,51:53.0,2025/4/23,饼干,B48,33,15
1361400,YS202502132259000001,6.92E+12,盼盼梅尼耶,,10,1,59:01.0,59:01.0,2025/3/27,盼盼,A47,77,42
1628414,YS202503052206340001,6.92E+12,爱好X16橡皮擦,,0.5,1,06:34.0,06:34.0,2025/4/16,文具,B48,98,52
623852,YS202412011639300001,6.92E+12,洁能蒸笼布2片,,5,1,39:31.0,39:31.0,2025/1/8,蒸笼,A48,24,71
140070,YSWRD2024081821074387500001,6.92E+12,JM神尻智能    发音版,,258,1,07:44.0,07:44.0,2025/2/7,智能,B49,16,33
509680,YS202411120127000001,6.92E+12,三味鸡,,3,1,27:01.0,27:01.0,2025/4/18,美食,A48,61,81
648430,YS202412051017300001,6.92E+12,石湾31度特醇米酒#,,4.5,1,17:30.0,17:30.0,2025/2/6,米酒,B49,88,99
532244,YS202411152311360001,6.92E+12,蜡笔小新果肉果冻杯青梅味200g,,4,1,11:37.0,11:37.0,2025/4/22,果冻,A49,43,7
2454934,YS202504140537010001,6.92E+12,椰豆,,5,1,37:02.0,37:02.0,2025/4/19,食品,B50,43,22
11818,2.02E+21,6.92E+12,黑乌龙,,7,1,37:39.0,37:39.0,2025/4/21,茶饮,A49,50,69
401178,YS202410210124400001,6.92E+12,香辣素虾,,1,2,24:41.0,24:41.0,2024/11/22,素虾,B50,12,21
935582,YS202501102046040001,6.92E+12,洁伶全程护理组合装卫生巾#,,13,1,46:05.0,46:05.0,2025/4/13,护理,A50,63,89
804512,YS202412270708550001,6.92E+12,康师傅冰红茶250ml,,1.5,1,08:56.0,08:56.0,2025/4/14,饮料,B51,96,96
303004,YS202409271449450001,6.92E+12,康师傅茉莉清茶1L,,4,1,49:46.0,49:46.0,2025/1/4,茶饮,A50,78,4
295158,YS202409251733280001,6.92E+12,康师傅 饮用水 550ml/瓶,,1,1,33:28.0,33:28.0,2025/3/17,用水类,B51,66,52
